Vendor Code,Company,County,Address,City,State,Zip
125062,"GOLD ARC, INC.",In LA County,848 TOWNE CENTER DRIVE,POMONA,California,91767
176990,LOS ANGELES CHEMICAL COMPANY,In LA County,845 SANDHILL AVE,CARSON,California,90746
117198,HARRIS OFFICE PRODUCTS,In LA County,8441 CANOGA AVE,CANOGA PARK,California,91304
191804,YOUTH MENTORING CONNECTION,In LA County,8407 S VERMONT AVE,LOS ANGELES,California,90044
169691,GC GREEN INCORPORATED,Outside of LA County,837 TIGER TAIL RD,VISTA,California,92084
186163,TRANSPACIFIC ENVIRONMENTAL SERVICES INC,In LA County,837 BROWNING PLACE,MONTEREY PARK,California,91755
143231,ARMANDO ZUBIA,In LA County,8345 CRAVELL AVE,PICO RIVERA,California,90660
195083,PASSAGE ENTERTAINMENT INC.,In LA County,8345 CRAVELL AVE,PICO RIVERA,California,90660
202445,AUTOMATED GATE SUPPLY INC,In LA County,8323 LANKERSHIM BLVD,N HOLLYWOOD,California,91605
137235,JAMES ADAM TUCKER,In LA County,830 N PASADENA AVE,PASADENA,California,91103
185659,"LA TRUCK & AUTO, INC.",In LA County,825 E WASHINGTON BLVD,LOS ANGELES,California,90021
168442,HOLOS INC,In LA County,"8221 LG, LP",N HOLLYWOOD,California,91606
119972,SPECTRUM ENVIRONMENTAL SERVICE,In LA County,8216 LANKERSHIM BLVD STE 12,N HOLLYWOOD,California,91605
166791,"ROSE EQUIPMENT REPAIR, INC.",In LA County,8143 SECURA WAY,SANTA FE SPGS,California,90670
165245,SAN FERNANDO VALLEY ALARM INC,In LA County,8111 SAN FERNANDO RD,SUN VALLEY,California,91352
118321,ACE ATTORNEY SERVICE INC,In LA County,811 WILSHIRE BLVD STE 900,LOS ANGELES,California,90017
183665,"SUNLIGHT MEDIA, LLC",In LA County,811 W 7TH ST STE 933,LOS ANGELES,California,90017
109274,"IMPACT SCIENCES, INC",In LA County,811 W 7TH ST STE 200,LOS ANGELES,California,90017
52182,FAST DEER BUS CHARTER INC,In LA County,8105 SLAUSON AVE,MONTEBELLO,California,90640
511468,POWERS BROS MACHINE INC,In LA County,8100 SLAUSON AVE.,MONTEBELLO,California,90640
165245,SAN FERNANDO VALLEY ALARM INC,In LA County,804 PICO ST,SAN FERNANDO,California,91340
165245,SAN FERNANDO VALLEY ALARM INC,In LA County,804 PICO ST,SAN FERNANDO,California,91340
184822,SERVICE CONNECTED INC,In LA County,8039 HEMET PL,LOS ANGELES,California,90046
173299,F.S.O.C. LLC,In LA County,803 EUCALYPTUS DR,EL SEGUNDO,California,90245
182010,ESTOLANO ADVISORS,In LA County,801 S. GRAND AVE,LOS ANGELES,California,90017
196209,BETTER WORLD GROUP ADVISORS,In LA County,801 S GRAND AVE STE 200,LOS ANGELES,California,90017
182010,ESTOLANO ADVISORS,In LA County,801 S GRAND AVE,LOS ANGELES,California,90017
210395,"KB ELECTRIC MOTORS, LLC",In LA County,801 E 8TH ST,LOS ANGELES,California,90021
111107,THE WALL LAS MEMORIAS PROJECT,In LA County,800 W 6TH ST,LOS ANGELES,California,90017
124955,KAL KRISHNAN CONSULTING,In LA County,"800 S. FIGUEROA ST., SUITE 1210",LOS ANGELES,California,90017
59817,RAW INTERNATIONAL,In LA County,800 S FIGUEROA ST,LOS ANGELES,California,90017
173356,"ESSENTIAL CARES SUPPLIES, INC.",In LA County,795 EAST WASHINGTON BLVD.,LOS ANGELES,California,90021
186048,VETERANS FIRST SUPPLY INC,Outside of LA County,7946 N MAPLE AVE STE 103,FRESNO,California,93720
55539,M&M PAPER CO.,In LA County,7915 RUFFNER AVE,VAN NUYS,California,91406
513990,L.A. FAMILY HOUSING CORP,In LA County,7843 LANKERSHIM BLVD.,NORTH HOLLYWOOD,California,91605
160471,"AMERICAN WIRE, INC.",Outside of LA County,784 S LUGO AVE,SN BERNRDNO,California,92408
161153,JOE MELENDEZ,In LA County,7822 WHITSETT AVE,LOS ANGELES,California,90001
109365,"T & M PROJECTS, INC.",In LA County,780 W. CHANNEL ST.,SAN PEDRO,California,90731
161594,"ENERGY OPTIONS, INC.",In LA County,7720 MADISON ST.,PARAMOUNT,California,90723
166214,"OMEGA GRAPHICS PRINTING, INC.",In LA County,7710 KESTER AVENUE,VAN NUYS,California,91405
202270,"PRIORITY AIRLESS EQUIPMENT, INC.",In LA County,7702 BALBOA BLVD,VAN NUYS,California,91406
503706,CHINATOWN SERVICE CENTER,In LA County,767 N. HILL ST.,LOS ANGELES,California,90012
5316,GENERAL INDUSTRIAL TOOL & SUPPLY INC,In LA County,7645 SAN FERNANDO RD,BURBANK,California,91505
149632,"COMPUTER CONDIMENTS, INC.",In LA County,"7618 WOODMAN AVE., SUITE 6",PANORAMA CITY,California,91402
179973,TECHNION CONTRACTORS TCI INC.,In LA County,7618 JELLICO AVE,NORTHRIDGE,California,91325
31896,RAYVERN LIGHTING SUPPLY CO,In LA County,7617 SOMERST BLVD,PARAMOUNT,California,90723
167174,"MONET CONSTRUCTION, INC",In LA County,7610 DAY STREET,TUJUNGA,California,91042
503065,FIVE ACRES-THE BOYS & GIRLS AID SOCIETY,In LA County,760 MOUNTAIN VIEW ST,ALTADENA,California,91001
213131,ADRIAN CHAVEZ,In LA County,7536 BROOKMILL RD,DOWNEY,California,90241
29044,"JOHN LISEE PUMPS, INC.",In LA County,7516 GARFIELD AVE,BELL GARDENS,California,90201
174861,316 ENGINEERING AND CONSTRUCTION INC,In LA County,7434 GARVALIA AVE,ROSEMEAD,California,91770
190074,MEDZ VENTURES INC,In LA County,743 MILFORD ST,GLENDALE,California,91203
190074,MEDZ VENTURES INC,In LA County,743 MILFORD ST,GLENDALE,California,91203
196036,HALTONE INC,In LA County,7332 LAUREL CANYON BLVD,N HOLLYWOOD,California,91605
503078,NEW DIRECTIONS FOR YOUTH,In LA County,7315 LANKERSHIM BLVD,NORTH HOLLYWOOD,California,91605
185192,"JONCICH STURM AND ASSOCIATES, INC.",In LA County,727 SILVER SPUR RD,RLLNG HLS EST,California,90274
56965,WOODS MAINTENANCE SERVICES INC,In LA County,7250 COLDWATER CANYON AVE,NORTH HOLLYWOOD,California,91605
56965,WOODS MAINTENANCE SERVICES INC,In LA County,7250 COLDWATER CANYON AVE,NORTH HOLLYWOOD,California,91605
173924,ALLIANCE FOR COMMUNITY EMPOWERMENT,In LA County,7227 OWENSMOUTH AVE,CANOGA PARK,California,91303
177303,"LA VERNE POWER EQUIPMENT, INC.",In LA County,720 ARROW HWY,LA VERNE,California,91750
120288,"SIMPSON & SIMPSON MANAGEMENT CONSULTING, INC",In LA County,718 S. DATE AVE.,ALHAMBRA,California,91803
120288,"SIMPSON & SIMPSON MANAGEMENT CONSULTING, INC",In LA County,718 S DATE AVE STE A,ALHAMBRA,California,91803
60682,CONVERSE PROFESSIONAL GROUP,In LA County,717 S  MYRTLE AVENUE,MONROVIA,California,91016
165571,"HONGJOO KIM LANDSCAPE ARCHITECTS, INC.",In LA County,714 WEST OLYMPIC BLVD,LOS ANGELES,California,90015
165571,"HONGJOO KIM LANDSCAPE ARCHITECTS, INC.",In LA County,714 W OLYMPIC BLVD,LOS ANGELES,California,90015
165571,"HONGJOO KIM LANDSCAPE ARCHITECTS, INC.",In LA County,714 W OLYMPIC BLVD,LOS ANGELES,California,90015
207065,SAMUEL E GORDON JR,In LA County,708 E 53RD ST,LOS ANGELES,California,90011
129509,MEDG INTERNATIONAL INC,In LA County,701 SONORA AVE,GLENDALE,California,91201
109817,"LEE ANDREWS GROUP, INC",In LA County,700 S FLOWER ST STE 1275,LOS ANGELES,California,90017
105081,COUNCIL FOR WATERSHED HEALTH,In LA County,700 N. ALAMEDA ST.,LOS ANGELES,California,90012
510739,MCM INTEGRATED SYSTEMS,In LA County,6961 HAYVENHURST AVE,VAN NUYS,California,91406
503235,OPTIMIST BOYS' HOME AND RANCH INC,In LA County,6957 N FIGUEROA ST,LOS ANGELES,California,90042
503235,OPTIMIST BOYS' HOME AND RANCH INC,In LA County,6957 N FIGUEROA ST,LOS ANGELES,California,90042
503235,OPTIMIST BOYS' HOME AND RANCH INC,In LA County,6957 N FIGUEROA ST,LOS ANGELES,California,90042
173924,ALLIANCE FOR COMMUNITY EMPOWERMENT,In LA County,6925 CANOGA AVE,CANOGA PARK,California,91303
508563,AAA RUBBISH INC,In LA County,6920 FOSTER BRIDGE BLVD,BELL GARDENS CA,California,90201
148659,HEALTHCARE STAFFING PROFESSIONALS INC,In LA County,6914 CANBY AVENUE,RESEDA,California,91335
169786,GREEN BUILDING CORPORATION,In LA County,6913 ALCOVE AVE,N HOLLYWOOD,California,91605
156188,GREEN TRANSLATIONS,In LA County,6907 RUBIO AVE,LAKE BALBOA,California,91406
152509,YAKAR,In LA County,689 E SAN BERNARDINO RD,COVINA,California,91723
114452,STERLING VAN LINES,In LA County,6850 SUVA ST,BELL GARDENS,California,90201
507051,HUMAN SERVICES ASSOCIATION,In LA County,6800 FLORENCE AVE.,BELL GARDENS,California,90201
192028,"MODERN TIMES, INC",In LA County,680 E COLORADO BLVD,PASADENA,California,91101
171667,CALCOMP GRAPHIC SOLUTIONS,Outside of LA County,6703 INTERNATIONAL AVE.,CYPRESS,California,90630
169346,"ADAPTCONN, INC.",In LA County,6700 FALLBROOK AVENUE SUITE 100,WEST HILLS,California,91307
119327,EMOTIONAL HEALTH ASSOCIATION,In LA County,6666 GREEN VALLEY CIRCLE,CULVER CITY,California,90230
169691,GC GREEN INCORPORATED,Outside of LA County,665 OPPER ST,ESCONDIDO,California,92029
172553,THE CENTER IN HOLLYWOOD,In LA County,6636 SELMA AVE,LOS ANGELES,California,90028
196241,"GO2ZERO STRATEGIES, LLC",In LA County,6625 N CALLE EVA MIRANDA STE A,IRWINDALE,California,91702
510868,JVS SOCAL,In LA County,6505 WILSHIRE BLVD,LOS ANGELES,California,90048
199953,INGLEWOOD WRAPPING ARMS AROUND THE COMMUNITY,In LA County,650 E MANCHESTER BLVD,INGLEWOOD,California,90301
139128,JOHN T CHAN ARCHITECTS INC,In LA County,65 N 1ST AVE,ARCADIA,California,91006
205477,G.IRL,In LA County,649 E 136TH ST,LOS ANGELES,California,90059
181518,"HOMEBOY RECYCLING, A CALIFORNIA SOCIAL PURPOSE CORPORATION",In LA County,6433 CANNING ST,COMMERCE,California,90040
38807,INTERNATIONAL RESTAURANT EQUIPMENT CO INC,In LA County,6432 MOORE DR,LOS ANGELES,California,90048
62367,SMA INC,In LA County,642 MOULTON AVE,LOS ANGELES,California,90031
519823,EDNET CAREER INST. INC.,In LA County,6400 CANOGA AVE STE 121,WOODLAND HILLS,California,91367
519823,EDNET CAREER INST. INC.,In LA County,6400 CANOGA AVE,WOODLAND HLS,California,91367
158449,DAWN MCKENNA,In LA County,6391 E BIXBY HILL RD,LONG BEACH,California,90815
