,Vendor Code,Company,County,City,Zip,Vendor_Address,lat,lon
69,182836,"ADVANCED MICROSYSTEMS GROUP, INC.",In LA County,LOS ANGELES,90045,"8816  S SEPULVEDA BLVD, LOS ANGELES, CA, 90045",33.955713,-118.3963779
70,190398,KEITH JACKSON ENTERPRISES INC,Outside of LA County,RCH CUCAMONGA,91701,"8780  19TH ST, RCH CUCAMONGA, CA, 91701",,
71,167823,"AIR BALANCE CO., INC.",In LA County,COVINA,91724,"874  S VILLAGE OAKS DR, COVINA, CA, 91724",34.0731042,-117.8625233
72,117868,MAURER MARINE INC.,Outside of LA County,COSTA MESA,92627,"873  W. 17TH ST., COSTA MESA, CA, 92627",33.6360047,-117.9350097
73,182164,PG CUTTING SERVICES,In LA County,PARAMOUNT,90723,"8650  SOMERSET BLVD, PARAMOUNT, CA, 90723",33.896342,-118.1475827
74,182164,PG CUTTING SERVICES,In LA County,PARAMOUNT,90723,"8650  SOMERSET BLVD, PARAMOUNT, CA, 90723",33.896342,-118.1475827
75,190811,BAYINFOTECH,In LA County,W HOLLYWOOD,90069,"8605  SANTA MONICA BLVD, W HOLLYWOOD, CA, 90069",34.0880685,-118.3794279
76,202781,"PHONES USA, INC.",In LA County,LOS ANGELES,90034,"8592  VENICE BLVD, LOS ANGELES, CA, 90034",34.033718,-118.3800347
77,513782,DAVID RAYBOULD,In LA County,NORTH HILLS,91343,"8552  AQUEDUCT AVE., NORTH HILLS, CA, 91343",34.2256999,-118.4741373
78,201043,THINKLOGIC INC,In LA County,EL SEGUNDO,90245,"855  N DOUGLAS ST, EL SEGUNDO, CA, 90245",33.9277447,-118.3832385
79,194037,HORIZON DESIGN INTERNATIONAL LLC,In LA County,BEVERLY HILLS,90211,"8549  WILSHIRE BLVD , BEVERLY HILLS, CA, 90211",34.0656649,-118.3777361
80,163141,BRILLIANT CORNERS,Outside of LA County,SAN FRANCISCO,94107,"854  FOLSOM ST, SAN FRANCISCO, CA, 94107",37.7811214,-122.4024492
81,171823,ARDO A VARDANYAN,In LA County,SUN VALLEY,91352,"8532  VINE VALLEY DR, SUN VALLEY, CA, 91352",,
82,168704,ZSM CORP.,In LA County,WINNETKA,91306,"8512  HELMAND DR, WINNETKA, CA, 91306",34.2247979,-118.5694641
83,180362,"DURA BRANDS, INC.",In LA County,DUARTE,91010,"851  MERIDIAN ST, DUARTE, CA, 91010",34.1214567,-117.9868065
84,164801,BBC ELECTRIC INC.,In LA County,AZUSA,91702,"850  W FOOTHILL BLVD , AZUSA, CA, 91702",34.133449,-117.91703
85,127786,TELENET VOIP INC,In LA County,EL SEGUNDO,90245,"850  PARKVIEW DRIVE NORTH, EL SEGUNDO, CA, 90245",33.9277354,-118.3849764
86,125062,"GOLD ARC, INC.",In LA County,POMONA,91767,"848  TOWNE CENTER DRIVE, POMONA, CA, 91767",34.092407,-117.7336875
87,176990,LOS ANGELES CHEMICAL COMPANY,In LA County,CARSON,90746,"845  SANDHILL AVE, CARSON, CA, 90746",33.8787242,-118.2611399
88,117198,HARRIS OFFICE PRODUCTS,In LA County,CANOGA PARK,91304,"8441  CANOGA AVE, CANOGA PARK, CA, 91304",34.2231784,-118.5976408
89,191804,YOUTH MENTORING CONNECTION,In LA County,LOS ANGELES,90044,"8407  S VERMONT AVE, LOS ANGELES, CA, 90044",33.9622356,-118.2913501
90,169691,GC GREEN INCORPORATED,Outside of LA County,VISTA,92084,"837  TIGER TAIL RD, VISTA, CA, 92084",33.19931,-117.229131
91,186163,TRANSPACIFIC ENVIRONMENTAL SERVICES INC,In LA County,MONTEREY PARK,91755,"837  BROWNING PLACE, MONTEREY PARK, CA, 91755",34.0494324,-118.1092479
92,143231,ARMANDO ZUBIA,In LA County,PICO RIVERA,90660,"8345  CRAVELL AVE, PICO RIVERA, CA, 90660",33.9634047,-118.1056172
93,195083,PASSAGE ENTERTAINMENT INC.,In LA County,PICO RIVERA,90660,"8345  CRAVELL AVE, PICO RIVERA, CA, 90660",33.9634047,-118.1056172
94,202445,AUTOMATED GATE SUPPLY INC,In LA County,N HOLLYWOOD,91605,"8323  LANKERSHIM BLVD, N HOLLYWOOD, CA, 91605",34.1868054,-118.3877736
